,list_price,bathrooms,sqft,parking,mean_district_income,district_code,final_price_transformed,final_price_log,bedrooms_ag,bedrooms_bg
6472,1349900,3,1300.0,2,70600,77,2.3928722432569542,14.038654109278484,3,0
6474,1198000,3,1300.0,2,57465,88,2.3927042627969994,13.981024996441848,2,0
6476,795000,2,850.0,1,70600,77,2.3913937445815328,13.573438996764546,2,1
6477,969000,2,1100.0,1,70600,77,2.391972886577856,13.745088093667729,3,1
6478,799000,2,1100.0,1,70623,82,2.391606867628241,13.635187003832993,3,0
6481,449000,1,650.0,1,38255,13,2.3892238999357565,13.021437458814368,2,0
6483,399000,2,1500.0,1,31826,117,2.3890020410433643,12.971540487669746,1,1
6484,669900,1,850.0,2,37422,78,2.3907073584091303,13.38472764187182,1,1
6485,699800,1,550.0,1,56526,76,2.3909143466753764,13.440089571204489,1,1
6486,850000,8,2250.0,2,29958,27,2.3915026360904164,13.604789526648622,9,0
6487,579000,1,650.0,1,52035,52,2.390140154910341,13.239257128875828,1,1
6489,768800,1,650.0,0,53583,75,2.391184798483604,13.514405465180351,1,1
6490,409999,2,1100.0,1,29573,132,2.3887295486428104,12.911642346088676,2,0
6491,710000,2,1300.0,4,42516,45,2.3910094213123414,13.465953081794405,3,0
6492,608000,1,550.0,1,44576,37,2.390299996134792,13.279367126213993,1,0
6493,548800,1,650.0,1,45326,51,2.3899402616859,13.190022025878145,1,0
6496,1448018,3,1750.0,4,51181,33,2.393226044623088,14.16475798607421,4,1
6497,939900,4,2250.0,4,44718,123,2.3919019615401966,13.723395269056468,4,2
6498,389000,1,950.0,1,31826,117,2.388505987935845,12.863592648446968,1,1
6499,1899000,2,2124.0,2,70600,77,2.393818812679529,14.392123922268269,2,0
6501,352000,1,650.0,1,31771,1,2.388036379511177,12.765688433465597,1,1
6502,899900,2,1300.0,2,67757,42,2.392101880384941,13.785051350479566,2,0
6503,550000,3,1300.0,2,30414,129,2.3900677375710786,13.221303325259232,3,1
6504,1849000,2,2250.0,2,125564,56,2.393790660780223,14.380824367014334,3,1
6505,998990,2,1100.0,1,70600,77,2.392141136893547,13.797346587336603,3,0
6506,699000,3,1700.0,2,28654,44,2.391111106640755,13.493926933836812,3,0
6507,434990,2,650.0,0,52787,14,2.38905375294349,12.983078321300834,1,1
6508,2950000,4,2250.0,2,165047,96,2.395171710397773,15.009433026436708,4,0
6509,644900,2,1300.0,1,62378,12,2.3906485300108926,13.369223455335854,3,0
6510,459000,1,550.0,1,36359,53,2.38921414952979,13.019222618484816,1,0
6511,419000,2,1500.0,1,31826,117,2.3887634912170586,12.9190224533863,2,0
6512,506888,1,550.0,0,70623,82,2.3896587926818467,13.122363377404328,1,0
6513,1800000,4,4250.0,10,35047,119,2.3938047930618884,14.386490104550012,4,1
6515,629000,3,1300.0,1,34904,36,2.390557802484917,13.34550692871854,3,1
6518,558800,1,750.0,1,35207,85,2.3905268716088885,13.337474757021274,2,1
6519,899900,2,1300.0,2,70623,82,2.3920450738006345,13.76737018263634,3,0
6520,935000,3,1700.0,1,35207,85,2.391983339449865,13.748301808270824,3,1
6521,2295000,2,2124.0,2,165047,96,2.3944566421548936,14.663522449085134,2,1
6522,500000,1,750.0,1,44576,37,2.390366742450246,13.296316684527769,2,0
6523,335000,1,650.0,1,29528,22,2.3878643547995737,12.730801174465157,1,0
6525,1068000,2,1100.0,1,114174,97,2.392438151225213,13.892471599100402,2,0
6526,865000,2,1300.0,1,204521,101,2.391565712309009,13.623138665316818,2,0
6527,798000,2,850.0,1,72371,38,2.391371375493233,13.567049198665774,2,1
6529,519000,1,550.0,1,58915,73,2.390520643005328,13.335860551666734,1,0
6530,465000,1,750.0,1,51181,33,2.389300818218745,13.038981768465275,1,1
6531,535800,2,850.0,1,51181,33,2.3899233453231385,13.185901398208316,2,0
6532,769000,3,1300.0,2,123077,39,2.3912984071954755,13.546323068148656,2,0
6534,715000,2,750.0,1,89330,100,2.390903565020818,13.437174117244362,2,0
6536,719900,2,1500.0,2,28654,44,2.3909304360502817,13.444446876573442,2,1
6537,375000,2,1300.0,2,32483,30,2.3885543322033955,12.873902018105827,3,0
6539,688000,1,650.0,1,112766,95,2.391544868639121,13.617059619240436,1,0
6540,449900,1,650.0,1,52787,14,2.3890641174910185,12.985397522331173,1,0
6541,1149000,3,1900.0,1,40442,48,2.3926252895353457,13.954402556830892,2,1
6542,825000,2,750.0,1,112766,95,2.391477047933484,13.597385642205042,1,1
6543,689900,4,1750.0,2,30731,21,2.390848980022168,13.422467969854669,3,1
6544,1149000,3,1100.0,1,70623,82,2.392466308224797,13.901688254205329,2,1
6545,849000,3,1500.0,1,70623,82,2.3921051779859823,13.786081747273462,3,0
6551,888000,2,950.0,1,70623,82,2.3918325112988934,13.702341859858636,2,0
6552,999000,2,1750.0,2,38527,31,2.392494101619133,13.9108207377686,3,0
6554,349000,1,950.0,1,31826,117,2.3880223650826227,12.762827201184564,2,0
6555,1495000,3,1750.0,1,89330,100,2.3933237230713624,14.20077295875492,3,0
6557,524750,1,650.0,1,45326,51,2.389790818888794,13.1538620444637,1,0
6558,309700,1,950.0,2,25989,24,2.3874220390431597,12.643359365961294,2,0
6559,899900,1,750.0,1,112766,95,2.39164733054716,13.64709190633931,1,0
6562,980000,2,1100.0,1,53583,75,2.3918856991683533,13.718448845121143,2,0
6563,899000,2,850.0,1,112766,95,2.3918213539805038,13.698976741708323,2,0
6567,3295000,5,4250.0,2,169203,103,2.395228726376044,15.03928598958639,6,0
6568,549900,2,850.0,1,45936,34,2.3899440925746283,13.19095616886994,2,0
6569,3100000,4,2750.0,3,169203,103,2.3948811844031432,14.862829552244833,4,0
6570,678888,2,1100.0,1,53583,75,2.3911260168922936,13.498056327178825,2,0
6571,449900,1,650.0,1,52787,14,2.3893479364998145,13.049792684569493,1,1
6575,2749000,4,2750.0,1,111730,105,2.3947886993825604,14.81797898607948,6,1
6576,1199900,3,1750.0,1,50694,81,2.3926917251781443,13.976778705560395,4,0
6580,699990,2,650.0,1,70600,77,2.3909304360502817,13.444446876573442,2,0
6581,539900,1,750.0,1,71204,87,2.3899402616859,13.190022025878145,1,1
6582,349800,1,550.0,0,33256,127,2.3883052752890945,12.821258284620408,1,0
6583,489709,2,950.0,1,30878,137,2.3893197522050134,13.043320170063875,2,0
6584,514900,1,550.0,0,70600,77,2.389902448585007,13.180820946975896,1,0
6585,537500,2,950.0,1,31692,126,2.3899210308789027,13.185338176565716,2,1
6586,529900,1,550.0,0,70600,77,2.389822922101593,13.16158409055761,1,0
6588,3300000,4,2750.0,2,125564,56,2.3950499801307434,14.946912669455374,4,0
6589,625000,2,750.0,1,50580,86,2.391303030944816,13.547631112808672,1,1
6590,629900,3,1300.0,1,52035,52,2.390689845226352,13.380101573483037,4,2
6591,388000,2,1300.0,1,31826,117,2.3885302483295976,12.86876061860541,3,0
6592,739900,2,850.0,1,54438,17,2.391184798483604,13.514405465180351,2,1
6593,679000,2,850.0,1,54438,17,2.3906395933914792,13.366876954454732,2,0
6594,1549000,5,4250.0,4,35047,119,2.3930696052105134,14.108180171927094,4,2
6595,929000,2,900.0,3,47384,19,2.392452275681503,13.897090544956695,3,1
6597,3498000,5,4250.0,1,207903,98,2.395481835067305,15.176487111099874,5,1
6599,405000,2,1300.0,1,26548,2,2.3885543322033955,12.873902018105827,2,1
6601,564900,2,750.0,1,52787,14,2.390136577506214,13.238367053160635,2,0
6602,539900,1,750.0,1,52787,14,2.3898028987822686,13.15676480412166,1,1
6603,859900,2,1900.0,1,40442,48,2.3917063780330365,13.664571382398988,2,0
6604,1199000,1,1750.0,1,63012,71,2.3932105662886567,14.15910026235435,3,1
6605,1699900,5,2750.0,2,43907,54,2.393627302804216,14.316285845876765,4,1
6606,1599900,3,2250.0,1,57465,88,2.393867015849342,14.411596025681089,6,1
6607,589900,1,550.0,1,56526,76,2.3902523041935,13.267329147654516,1,0
6608,799800,3,750.0,1,70600,77,2.3913937445815328,13.573438996764546,2,0
6609,735000,1,750.0,1,70600,77,2.3910454711092077,13.475833190394113,1,1
6612,803900,4,1750.0,2,29958,27,2.3914291184351306,13.583578500616984,3,2
6613,899000,2,1750.0,4,53203,140,2.391930593569408,13.732128949025222,4,0
6614,463800,2,1300.0,1,29958,27,2.389204368447152,13.017002861746503,3,0
6615,599900,2,750.0,1,34597,72,2.39059142408871,13.35426843438711,2,0
6616,629000,2,950.0,1,52035,52,2.390582295881745,13.351886535682578,1,1
6617,559900,2,1500.0,1,36359,53,2.3900530308108943,13.217673557208654,3,1
6618,429900,2,1300.0,1,36359,53,2.389252968725087,13.028052697933088,3,0
6621,578800,2,1100.0,1,45212,50,2.390231613543553,13.262125319779487,2,1
6622,690000,1,650.0,1,70623,82,2.390848980022168,13.422467969854669,1,1
6626,539900,1,550.0,1,70623,82,2.389959365602465,13.194684038983954,1,0
6627,489900,1,550.0,0,53803,70,2.3898308932840244,13.163505320735505,1,0
6628,599000,1,850.0,1,70623,82,2.390612103747755,13.359673310022773,2,0
